date,n,auc,auc_lo,auc_hi,calib_err
2016-07-28,150,0.5570014662756598,,,0.2633333333333333
2016-08-01,150,0.5583901270952293,,,0.26333333333333336
2016-08-10,150,0.5596296296296296,,,0.2633333333333333
2016-08-17,150,0.5651851851851852,,,0.2566666666666666
2016-08-19,150,0.5662134475693797,,,0.2566666666666667
2016-08-24,150,0.5623148148148148,,,0.2433333333333333
2016-08-26,150,0.5567592592592593,,,0.25
2016-08-31,150,0.5576457440864221,,,0.25
2016-09-01,150,0.5631402495809276,,,0.2433333333333334
2016-09-08,150,0.563811844077961,,,0.24333333333333335
2016-09-09,150,0.563811844077961,,,0.24333333333333335
2016-09-26,150,0.5731937370307489,,,0.25
2016-09-29,150,0.5820599886813809,,,0.2566666666666667
2016-10-03,150,0.5774126139817629,,,0.26333333333333336
2016-10-06,150,0.5774126139817629,,,0.26333333333333336
2016-10-07,150,0.5820599886813809,,,0.2566666666666667
2016-10-13,150,0.5820599886813809,,,0.2566666666666667
2016-10-17,150,0.586436170212766,,,0.26999999999999996
2016-10-20,150,0.5911004784688996,,,0.2833333333333334
2016-10-28,150,0.5911004784688996,,,0.2833333333333334
2016-11-02,150,0.5960648148148148,,,0.29666666666666663
2016-11-03,150,0.6002870813397129,,,0.29
2016-11-10,150,0.5950239234449761,,,0.2966666666666667
2016-12-12,150,0.5950239234449761,,,0.2966666666666667
2016-12-16,150,0.6002870813397129,,,0.29
2016-12-22,150,0.6002870813397129,,,0.29
2016-12-30,150,0.595459726443769,,,0.27666666666666667
2017-01-05,150,0.6007788753799392,,,0.26999999999999996
2017-01-11,150,0.6060980243161094,,,0.26333333333333336
2017-01-12,150,0.6016789285040558,,,0.25
2017-01-19,150,0.6016789285040558,,,0.25
2017-01-23,150,0.6016789285040558,,,0.25
2017-01-27,150,0.6023936170212766,,,0.24999999999999994
2017-01-30,150,0.6077127659574468,,,0.24333333333333335
2017-02-16,150,0.613031914893617,,,0.23666666666666664
2017-02-23,150,0.6183510638297872,,,0.23000000000000004
2017-03-02,150,0.6143180531975099,,,0.21666666666666667
2017-03-16,150,0.6093275075987842,,,0.22333333333333333
2017-03-17,150,0.6146466565349544,,,0.21666666666666662
2017-03-20,150,0.6199658054711246,,,0.21000000000000002
2017-03-22,150,0.6148325358851675,,,0.21666666666666673
2017-03-24,150,0.6148325358851675,,,0.21666666666666673
2017-04-03,150,0.6096643518518519,,,0.22333333333333338
2017-04-07,150,0.6044543863061661,,,0.23000000000000004
2017-04-12,150,0.5991954474097331,,,0.2366666666666667
2017-04-21,150,0.5991954474097331,,,0.2366666666666667
2017-04-28,150,0.6042974882260597,,,0.22999999999999998
2017-05-03,150,0.6039809863339275,,,0.22999999999999993
2017-05-04,150,0.6090314913844326,,,0.22333333333333333
2017-05-08,150,0.6140819964349377,,,0.21666666666666662
2017-05-11,150,0.6191325014854426,,,0.21000000000000002
2017-05-17,150,0.6098901098901099,,,0.20333333333333337
2017-06-09,150,0.6098901098901099,,,0.20333333333333337
2017-06-12,150,0.6191325014854426,,,0.21000000000000002
2017-06-14,150,0.6241830065359477,,,0.2033333333333333
