short_delta,pt_take,stop_mult,iv_rank_min,dte,n_trades,total_return_pct,cagr_pct,sharpe,maxdd_pct,win_pct,expectancy_usd,worst_trade_usd
0.16,0.35,2.0,0.3,45,175,-11.3,-0.6,-0.9,-11.7,68.6,-19.3,-299.1
0.1,0.35,999.0,0.0,45,214,-13.0,-0.7,-0.75,-13.6,23.8,-18.2,-547.3
0.1,0.35,999.0,0.0,35,268,-13.2,-0.7,-0.76,-13.7,21.6,-14.8,-595.6
0.1,0.35,2.0,0.5,45,114,-12.2,-0.7,-1.55,-12.2,19.3,-32.2,-148.8
0.16,0.35,999.0,0.0,45,239,-12.4,-0.7,-0.53,-14.6,72.4,-15.6,-570.1
0.16,0.35,2.0,0.3,35,192,-13.3,-0.7,-0.98,-13.7,68.2,-20.8,-288.9
0.1,0.5,2.0,0.5,35,120,-12.6,-0.7,-1.52,-12.7,25.0,-31.6,-158.5
0.1,0.35,2.0,0.5,35,125,-12.9,-0.7,-1.57,-12.9,20.8,-31.0,-158.5
0.25,0.35,2.0,0.0,45,284,-13.9,-0.8,-0.6,-14.8,83.8,-14.7,-363.9
0.1,0.5,2.0,0.3,45,177,-16.7,-0.9,-1.84,-16.8,29.4,-28.2,-115.4
0.25,0.35,2.0,0.0,35,355,-17.5,-1.0,-0.68,-18.5,83.7,-14.8,-370.0
0.1,0.5,2.0,0.3,35,193,-17.6,-1.0,-1.9,-17.8,27.5,-27.4,-123.2
0.16,0.5,2.0,0.0,45,262,-17.6,-1.0,-1.17,-17.7,71.8,-20.1,-215.6
0.1,0.35,2.0,0.3,45,193,-17.1,-1.0,-1.92,-17.3,22.3,-26.7,-115.4
0.1,0.35,2.0,0.3,35,212,-18.9,-1.1,-2.06,-19.0,17.9,-26.8,-123.2
0.16,0.5,2.0,0.0,35,315,-21.5,-1.2,-1.36,-22.4,70.5,-20.5,-262.5
0.16,0.35,2.0,0.0,45,302,-22.3,-1.3,-1.52,-22.8,57.9,-22.2,-251.7
0.16,0.35,2.0,0.0,35,346,-26.4,-1.6,-1.69,-27.3,54.6,-22.9,-262.5
0.1,0.5,2.0,0.0,45,319,-30.8,-1.9,-2.7,-30.8,17.2,-28.9,-197.9
0.1,0.35,2.0,0.0,45,344,-31.4,-1.9,-2.83,-31.5,9.3,-27.4,-211.8
0.1,0.5,2.0,0.0,35,366,-33.3,-2.1,-2.87,-33.4,14.2,-27.3,-229.3
0.1,0.35,2.0,0.0,35,396,-34.6,-2.2,-3.05,-34.6,7.8,-26.2,-229.3
