time,strategy,passive_long,xs_momentum,net,tilt,timing
2010-07-31,-0.08016460083183234,0.08016460083183234,-0.002386181357348352,-0.08074362893237426,-0.07666460719442751,-0.0034999936374048163
2010-08-31,0.018198114473042478,-0.017651250577703535,0.017487578191361552,0.0179496249422138,-0.00028481549556825375,0.01848292996861073
2010-09-30,0.02011338496429191,0.03662036015935497,0.001580198797908847,0.02006704664176154,0.00910052441984485,0.011012860544447054
2010-10-31,0.04479413563052564,0.03577040104884814,0.014659432209453024,0.04471826135144741,0.007878959190645754,0.03691517643987989
2010-11-30,-0.012688407982395131,-0.012465261519877749,-0.0046341735557406775,-0.012891458543849451,-0.0026733217764865454,-0.010015086205908585
2010-12-31,-0.001101302461353418,0.04850153609192439,0.007627569125606347,-0.00129725982266035,-0.011229536870330136,0.010128234408976713
2011-01-31,0.009573021548472602,0.008913563889445267,0.0021020790694281128,0.009324197107481688,0.0017251355121023035,0.0078478860363703
2011-02-28,0.0077647377798463115,-0.007410749001324724,0.011097222537423231,0.007718486137752016,-0.006440286944643765,0.01420502472449008
2011-03-31,-0.003967312165981236,0.0067416696483609765,-0.011043931794714959,-0.004050025369181474,0.004797601593154366,-0.008764913759135604
2011-04-30,0.007781920133439526,0.015474720813511821,-0.00035978790820022605,0.007760694547217095,0.010065857239841436,-0.0022839371064019057
2011-05-31,-0.013157874488068513,-0.016419746055242664,0.004093670358486383,-0.013200680851157233,-0.009499336916331255,-0.0036585375717372616
2011-06-30,-0.032066088688918325,-0.04374823041766861,-0.0023485743537999476,-0.0321144438616675,-0.03081124319658457,-0.0012548454923337622
2011-07-31,0.024119549999578986,0.011943944474715048,0.008714831502848202,0.023938800810913867,0.010097116558700462,0.014022433440878525
2011-08-31,0.01631331403978927,0.020481601972381584,0.01509685478049801,0.016266906951862094,0.009917584007880332,0.006395730031908941
2011-09-30,-0.03656303181861628,-0.08032424074729616,-0.012968605272698063,-0.036782060880967,-0.03318260162689314,-0.0033804301917231437
2011-10-31,-0.0033476643514582295,0.024466396764027856,0.007138565586006125,-0.003787841053421055,-0.0018265856053947995,-0.0015210787460634314
2011-11-30,0.022935388640148317,-0.02076079628314364,0.004715630369683,0.02291421404708768,0.006424512743111019,0.016510875897037296
2011-12-31,0.008612757833230263,0.0009999267346400876,0.01543984262150978,0.008372965867073718,-0.00025148484483515003,0.008864242678065412
2012-01-31,0.013737733098907062,-0.013695959252694229,0.009656014757436129,0.013440345378348473,0.009735286529514867,0.004002446569392197
2012-02-29,-0.02271808001489757,0.018931733345747975,0.007027311175297669,-0.022999439587295216,-0.01813961157249585,-0.004578468442401723
2012-03-31,0.0017055563595143029,-0.00964235272588002,0.010494302637911478,0.0013901635828181028,0.014647599901284331,-0.012942043541770027
2012-04-30,-0.013531187380103287,0.011275989483419407,0.00813558042286443,-0.013939648430941618,-0.01106857768536102,-0.002462609694742267
2012-05-31,0.07415044483056987,-0.11092281193771757,-0.044059142140386025,0.07345686415186613,0.06397021187571382,0.010180232954856054
2012-06-30,-0.05485763839641672,0.05485763839641672,-0.003751563438010228,-0.05548001750473621,-0.06754312238348348,0.012685483987066773
2012-07-31,0.04196048714289488,0.055284153822258875,0.02184897214124137,0.041901117043014094,0.002250218074983055,0.03971026906791183
2012-08-31,0.0045712508347888715,0.004287960560205231,0.007056797833152789,0.004251913182417396,8.213345533866252e-06,0.004563037489255006
2012-09-30,-0.03278272010022934,0.0028383764139221293,-0.019236284541828592,-0.03322752906190759,-6.61452128592781e-05,-0.03271657488737006
2012-10-31,-0.02238673028300481,-0.020581078347222524,0.0016829600112181029,-0.02292918899862065,-0.01345442109449719,-0.008932309188507622
2012-11-30,-0.011907794704249667,-0.006204544524306097,-0.005258907049121682,-0.011943226688787341,0.0006382362757415323,-0.012546030979991199
2012-12-31,-0.014234905080765874,-0.021809887888396814,-0.005021871822678404,-0.014746330345355023,0.00020395919887395051,-0.014438864279639823
2013-01-31,0.007432718802682734,0.02152377849021119,0.001655495429435156,0.006864493732067071,0.004932232145564425,0.0025004866571183074
2013-02-28,0.025514360916727936,-0.01936320338176765,0.007542607267621095,0.025445837045344605,0.009209889911067118,0.016304471005660817
2013-03-31,-0.013196436561035994,-2.6175284325847892e-05,-0.016317356065004895,-0.013424905741158448,-0.002529359676940577,-0.010667076884095418
2013-04-30,0.014836995787054325,-0.008661194563154031,0.013994046707373918,0.014484234817289773,7.40888366790671e-05,0.014762906950375257
2013-05-31,0.0016385696316276136,0.0037786728007254355,-0.004606946346534883,0.0011805209532327037,-0.0002500689374991541,0.0018886385691267687
2013-06-30,0.009266921942782091,-0.015862952683614963,0.0047574227067796295,0.0090728624044443,-0.009059092239830455,0.018326014182612548
2013-07-31,-0.006513615816129254,-0.0034241955661916115,-0.005860321029568134,-0.007042855815592551,-0.00037730167208649515,-0.006136314144042758
2013-08-31,-0.014451264277848534,0.018125184090659652,0.013439140506201921,-0.014508369991053554,-0.01335938144752928,-0.001091882830319257
2013-09-30,0.00196328001777432,-0.008835940799044355,-0.008056508031138561,0.0019180858713903014,0.009376176072239522,-0.007412896054465201
2013-10-31,0.0022471362171087605,-0.014544227088207991,-0.0028338194316881323,0.0020178954375452834,0.010166135909778176,-0.007918999692669416
2013-11-30,0.0002813956243398697,0.0002857261211822872,-0.00044428382043582606,0.00011794491698796823,-0.0012367000038340326,0.001518095628173904
2013-12-31,0.007163918014130016,0.001794317830781229,0.013536915328271615,0.0068351072823306215,-0.0017508168424546083,0.00891473485658462
2014-01-31,0.02177117955471087,0.0052521008522796635,-0.0022331327780414625,0.021328145858272207,0.0020045231511367397,0.01976665640357413
2014-02-28,-0.0030262372779459256,0.04752321397438745,0.012445378795985782,-0.003458684234277854,-0.018108187488967135,0.0150819502110212
2014-03-31,-0.011061926457894843,0.016338635818874254,-0.017465252270892528,-0.011200605979932554,-0.00563279661627928,-0.005429129841615565
2014-04-30,0.0036759833245058595,0.01446360276335361,0.003875050118596296,0.0036126547210595977,-0.0044244459065147165,0.008100429231020579
2014-05-31,0.02146596104479751,-0.02078328878067739,0.01416034515776517,0.021104944170971886,0.005916005952549299,0.015549955092248213
2014-06-30,0.00650141689510714,-0.0059181118763498046,0.007098974092573714,0.006056742143658149,-0.0028962475048635423,0.009397664399970682
2014-07-31,-0.008795616728034193,-0.04994620313117148,-0.00026674206061399087,-0.009550159566547603,-0.034238879640629834,0.025443262912595632
2014-08-31,-0.04865795566611485,-0.04611225654423656,-0.04341116810108298,-0.04893285486099331,0.002966653225186412,-0.051624608891301264
2014-09-30,0.03396088733249295,-0.04909282649878103,0.008597346192149287,0.03359366875449787,0.0179857363201453,0.01597515101234765
2014-10-31,-0.0159050483581154,0.002771113724077272,-0.026437039083109175,-0.015967996952956066,-0.000806552447815612,-0.015098495910299792
