date,short_ret,traded,y,gex_prev,gex_prev_sign,gex_prev_absmag,rvol_prev,ret_prev,absret_prev,range_prev,mom5_prev,vol5_prev,vol20_prev,dow,month
2007-01-03,0.0,0,0,,,,,,,,,,,2,1
2007-01-04,0.0,0,0,,,,0.0006515906361983884,,,0.07124681933842236,,,,3,1
2007-01-05,0.0,0,0,,,,0.0005481568265943943,0.019430950728660745,0.019430950728660745,0.024052643521670122,,,,4,1
2007-01-08,0.0,0,0,,,,0.0005465581558222848,-0.005218969820739661,0.005218969820739661,0.011177007299270118,,,,0,1
2007-01-09,0.0,0,0,,,,0.0004984705304074879,0.0013686131386860811,0.0013686131386860811,0.010933940774487401,,,,1,1
2007-01-10,0.0,0,0,,,,0.000583104774221679,0.005011389521640153,0.005011389521640153,0.014959202175883876,,0.0005655761846488469,,2,1
2007-01-11,0.0,0,0,,,,0.0004793952184651358,0.011786038077969296,0.011786038077969296,0.018817204301075186,0.03261623872310904,0.0005311371011021964,,3,1
2007-01-12,0.0,0,0,,,,0.0003933180864522863,0.00963261648745517,0.00963261648745517,0.013090747725760004,0.022691173133650988,0.0005001693530737748,,4,1
2007-01-16,0.0,0,0,,,,0.0003789134722814951,0.005546927002440638,0.005546927002440638,0.008384819064430771,0.033759124087591186,0.00046664041636561683,,1,1
2007-01-17,0.0,0,0,,,,0.00043976438467195573,-0.0011032656663724216,0.0011032656663724216,0.005964214711729534,0.03120728929384975,0.0004548991872185104,,2,1
2007-01-18,0.0,0,0,,,,0.00042311573302503976,-0.008173183123481476,0.008173183123481476,0.010244988864142558,0.017679057116953834,0.0004229013789791825,,3,1
2007-01-19,0.0,0,0,,,,0.0004776899166833979,-0.01848552338530063,0.01848552338530063,0.07805763557975959,-0.01276881720430112,0.0004225603186228349,,4,1
2007-01-22,0.0,0,0,,,,0.0004758067736297334,0.002042205582028611,0.002042205582028611,0.0083786231884059,-0.02019081428888403,0.00043905805605832436,,0,1
2007-01-23,0.0,0,0,,,,0.0004933871246756255,-0.010643115942028936,0.010643115942028936,0.01647974364843211,-0.03596646072374232,0.00046195278653715047,,1,1
2007-01-24,0.0,0,0,,,,0.00044394050479597746,-0.0025177386129549006,0.0025177386129549006,0.011014226709499699,-0.037331566158604,0.0004627880105619548,,2,1
2007-01-25,0.00777140000000012,1,1,,,,0.0004188035121399276,0.01629187700780177,0.01629187700780177,0.012418153081959746,-0.013585746102449892,0.00046192556638493236,,3,1
2007-01-26,-0.00448296111598317,1,0,,,,0.0005039492331143536,-0.013547076089410748,0.013547076089410748,0.020370794232089737,-0.00862264579078742,0.00046717742967112354,,4,1
2007-01-29,0.0,0,0,,,,0.0006033356592030042,-0.002746623941405346,0.002746623941405346,0.012393848978655019,-0.013360507246376718,0.0004926832067857777,,0,1
2007-01-30,0.0,0,0,,,,0.00047134805284154756,0.0009180628873077801,0.0009180628873077801,0.011694565466636048,-0.001831082627603564,0.00048827539241896205,,1,1
2007-01-31,-0.01024433901856922,1,0,,,,0.0003752015726777254,0.0016051364365972098,0.0016051364365972098,0.00618131868131859,0.0022946305644790943,0.0004745276059953117,,2,1
2007-02-01,0.0,0,0,,,,0.0005172975940405535,0.008699633699633669,0.008699633699633669,0.01951883794825237,-0.005193045834274046,0.0004942264223754369,0.0004861573880970997,3,2
2007-02-02,0.0,0,0,,,,0.0004502278956500249,-0.001361779391738538,0.001361779391738538,0.012499999999999935,0.007095445181963811,0.0004834821548825711,0.0004760892510696815,4,2
2007-02-05,0.0,0,0,,,,0.0004427838249522586,0.0038636363636364024,0.0038636363636364024,0.007018338238623551,0.013770943309616701,0.00045137178803242203,0.00047082060098757475,0,2
2007-02-06,-0.010056457259744338,1,0,,,,0.0003692999040448149,-0.0009055920307901033,0.0009055920307901033,0.009064128710627659,0.01192387067186429,0.0004309621582730755,0.00046195768839870125,1,2
2007-02-07,0.0,0,0,,,,0.0004168626698793255,-0.0015862225243598038,0.0015862225243598038,0.013390830685428876,0.008699633699633669,0.0004392943777133954,0.0004578772953722931,2,2
2007-02-08,0.0,0,0,,,,0.0003790884899658096,0.009759418974126133,0.009759418974126133,0.011912789390874378,0.009759418974126133,0.00041165255689844666,0.00044767648115949966,3,2
2007-02-09,0.0059038844246357336,1,1,,,,0.0004043969411149961,0.0004495392222969574,0.0004495392222969574,0.00831273871040226,0.011590909090908985,0.00040248636599144095,0.00044392656729199266,4,2
2007-02-12,-0.004904340144525947,1,0,,,,0.00045084246479926664,-0.013929454055268464,0.013929454055268464,0.022556390977443653,-0.006339144215530945,0.00040409809396084256,0.0004468027862093417,0,2
2007-02-13,0.0,0,0,,,,0.00036517285113580537,-0.004101161995898828,0.004101161995898828,0.006863417982155048,-0.009517335146159156,0.0004032726833790407,0.00044611575515205717,1,2
2007-02-14,0.0,0,0,,,,0.0003446037973576374,0.003202928391672355,0.003202928391672355,0.0068415051311287835,-0.004766227871084938,0.00038882090887470305,0.0004413577257863412,2,2
2007-02-15,0.0,0,0,,,,0.0003499840096273927,0.01641961231470912,0.01641961231470912,0.015032533094009462,0.0017981568891884958,0.00038300001280701964,0.0004377011396164589,3,2
2007-02-16,0.0,0,0,,,,0.0003550557079972716,0.005384787973973459,0.005384787973973459,0.006694934166480791,0.0067400584138397335,0.00037313176618347475,0.00043156942918215263,4,2
2007-02-20,0.0,0,0,,,,0.0002906789507436851,-0.0006694934166481259,0.0006694934166481259,0.005806163465832917,0.020277967646388673,0.00034109906337235845,0.00042231303803785017,1,2
2007-02-21,0.0,0,0,,,,0.0003681527191415032,0.006029477445288034,0.006029477445288034,0.015316315205327365,0.030656600320292826,0.00034169503697349803,0.0004160513177611441,2,2
2007-02-22,0.0,0,0,,,,0.00043998494117277815,0.0031076581576026108,0.0031076581576026108,0.008408940030980363,0.030558722919042047,0.0003607712657365262,0.00041585353957998404,3,2
2007-02-23,-0.0030945454335168615,1,0,,,,0.0004151946303980155,0.005089621597698768,0.005089621597698768,0.010568031704095043,0.01907112407448963,0.0003738133898906507,0.0004156730954928884,4,2
2007-02-26,0.00012343774360592003,1,1,,,,0.0004040336837151986,-0.003522677234698457,0.003522677234698457,0.008837825894829841,0.01004240124972089,0.00038360898503423605,0.0004106773180229307,0,2
2007-02-27,0.058348459844989105,1,1,,,,0.00040795743429769587,-0.004197967300044181,0.004197967300044181,0.016418903927224362,0.006476105404198185,0.00040706468174503825,0.00040090840677766527,1,2
2007-02-28,0.0,0,0,,,,0.0007855597709960888,-0.04149101397825594,0.04149101397825594,0.032870370370370244,-0.04106548279689226,0.0004905460921159554,0.00041661899268539244,2,2
2007-03-01,0.0,0,0,,,,0.000731267966649971,0.002777777777777768,0.002777777777777768,0.019159741458910393,-0.041380836468245086,0.000548802697211394,0.0004344223123840047,3,3
2007-03-02,0.0,0,0,,,,0.0008244188023868118,-0.004385964912280604,0.004385964912280604,0.030141432877347486,-0.05041831792162044,0.0006306475316091532,0.00044977837280131756,4,3
2007-03-05,0.0,0,0,,,,0.0006586837583467639,-0.015070716438673859,0.015070716438673859,0.025188323917137486,-0.06142288996906764,0.0006815775465354662,0.0004602011659361546,0,3
