date,rolling_auc,winrate_gap
2016-07-28,0.5570014662756598,0.12211221122112215
2016-08-01,0.5583901270952294,0.12346938775510208
2016-08-10,0.5596296296296296,0.12444444444444441
2016-08-17,0.5651851851851852,0.13525410164065627
2016-08-19,0.5662134475693796,0.13560666137985722
2016-08-24,0.5623148148148148,0.12716194968553463
2016-08-26,0.5567592592592593,0.116375892149088
2016-08-31,0.557645744086422,0.11674528301886794
2016-09-01,0.5631402495809275,0.1272904483430799
2016-09-08,0.563811844077961,0.12707930367504838
2016-09-09,0.563811844077961,0.12707930367504838
2016-09-26,0.5731937370307489,0.14526112185686657
2016-09-29,0.5820599886813809,0.16432748538011693
2016-10-03,0.5774126139817629,0.15380116959064327
2016-10-06,0.5774126139817629,0.15380116959064327
2016-10-07,0.5820599886813809,0.16432748538011693
2016-10-13,0.5820599886813809,0.16432748538011693
2016-10-17,0.586436170212766,0.1733490566037736
2016-10-20,0.5911004784688996,0.1829896907216495
2016-10-28,0.5911004784688996,0.1829896907216495
2016-11-02,0.5960648148148148,0.19327731092436973
2016-11-03,0.600287081339713,0.2034813925570228
2016-11-10,0.5950239234449761,0.19434343434343437
2016-12-12,0.5950239234449761,0.19434343434343437
2016-12-16,0.600287081339713,0.2034813925570228
2016-12-22,0.600287081339713,0.2034813925570228
2016-12-30,0.595459726443769,0.19329896907216493
2017-01-05,0.6007788753799392,0.20263364779874216
2017-01-11,0.6060980243161094,0.2118908382066277
2017-01-12,0.6016789285040559,0.20290135396518377
2017-01-19,0.6016789285040559,0.20290135396518377
2017-01-23,0.6016789285040559,0.20290135396518377
2017-01-27,0.6023936170212767,0.20161290322580644
2017-01-30,0.6077127659574468,0.21090770404271547
2017-02-16,0.613031914893617,0.22015915119363397
2017-02-23,0.6183510638297873,0.22937853107344633
2017-03-02,0.6143180531975099,0.22191011235955055
2017-03-16,0.6093275075987843,0.2106741573033708
2017-03-17,0.6146466565349544,0.2200074515648286
2017-03-20,0.6199658054711247,0.22932888394512418
2017-03-22,0.6148325358851675,0.21783463107156098
2017-03-24,0.6148325358851675,0.21783463107156098
2017-04-03,0.6096643518518519,0.20634037819799778
2017-04-07,0.604454386306166,0.19484612532443457
2017-04-12,0.5991954474097332,0.1833518724508713
2017-04-21,0.5991954474097332,0.1833518724508713
2017-04-28,0.6042974882260597,0.1921373200442968
2017-05-03,0.6039809863339276,0.18915441176470588
2017-05-04,0.6090314913844326,0.19780219780219777
2017-05-08,0.6140819964349377,0.2064622124863089
2017-05-11,0.6191325014854427,0.21514379322897706
2017-05-17,0.6098901098901098,0.2002184200946487
2017-06-09,0.6098901098901098,0.2002184200946487
2017-06-12,0.6191325014854427,0.21514379322897706
2017-06-14,0.6241830065359478,0.22385620915032678
2017-06-16,0.6235,0.22010869565217392
2017-06-29,0.6235,0.22010869565217392
2017-07-24,0.6235,0.22010869565217392
2017-07-27,0.6285000000000001,0.22875226039783
2017-07-28,0.6276015356637705,0.2246298302636331
2017-08-02,0.6325520307132755,0.2332251082251082
2017-08-03,0.6375025257627803,0.24188896899783707
2017-08-10,0.6385000000000001,0.2462121212121212
2017-08-17,0.639334521687463,0.25027085590465875
2017-08-18,0.6342840166369579,0.24141048824593128
2017-08-21,0.6285000000000001,0.22875226039783
2017-08-24,0.6226510406142656,0.21609403254972878
2017-09-05,0.6276015356637705,0.2246298302636331
2017-09-20,0.626531862745098,0.2202380952380952
2017-09-21,0.6314338235294117,0.22873107426099498
2017-09-25,0.6360256145424499,0.2341269841269841
2017-10-09,0.6457984949832776,0.248015873015873
2017-10-19,0.6471571906354514,0.25048923679060664
2017-10-23,0.6423259657095641,0.2450213371266003
2017-10-25,0.6529642635819045,0.26347624977761963
2017-10-30,0.6529642635819045,0.26347624977761963
2017-11-02,0.662834448160535,0.27717487991460593
2017-11-08,0.6619047619047619,0.2720483641536273
2017-11-09,0.6608061749571184,0.2666666666666667
2017-11-15,0.6655231560891939,0.2745376955903272
2017-11-29,0.6702401372212693,0.2825120085394058
2017-12-01,0.6688763312323409,0.2767094017094017
2018-01-16,0.6673280423280423,0.2706364770903904
2018-01-18,0.665585142089953,0.26428571428571435
2018-01-29,0.6636363636363636,0.25764895330112725
2018-02-02,0.6511363636363636,0.23852223816355808
2018-02-05,0.6386363636363636,0.2193850026973566
2018-02-08,0.6457820541508167,0.23431037583168496
2018-02-09,0.6457820541508167,0.23431037583168496
2018-03-01,0.6386363636363636,0.2193850026973566
2018-03-14,0.6358281358281358,0.21212121212121213
2018-03-19,0.6358281358281358,0.21212121212121213
2018-03-22,0.6431818181818181,0.22727272727272727
2018-03-23,0.6358281358281358,0.21212121212121213
2018-03-28,0.6358281358281358,0.21212121212121213
2018-04-02,0.6431818181818181,0.22727272727272727
2018-04-06,0.6431818181818181,0.22727272727272727
2018-04-19,0.6403326403326404,0.21990950226244346
2018-04-20,0.6352272727272728,0.2162063953488372
2018-04-25,0.6306818181818182,0.2081447963800905
2018-04-30,0.6335869321995972,0.21536796536796535
2018-05-02,0.6289997762362944,0.20733680992627226
2018-05-03,0.6244126202729918,0.19942611190817788
2018-05-24,0.6244126202729918,0.19942611190817788
2018-05-29,0.6340909090909091,0.21162123385939738
2018-05-31,0.6268191268191268,0.19691535150645625
2018-06-07,0.6238251879699248,0.18953425642869987
2018-06-15,0.6238251879699248,0.18953425642869987
2018-06-21,0.6369830827067671,0.20911047345767578
2018-06-25,0.6369830827067671,0.20911047345767578
2018-06-27,0.644144144144144,0.2238163558106169
2018-07-19,0.6414473684210527,0.2165078223341126
2018-07-27,0.6358281358281358,0.21212121212121213
2018-07-30,0.623007623007623,0.19276018099547512
2018-08-13,0.6327537593984962,0.20452488687782808
2018-08-15,0.6282894736842105,0.196969696969697
2018-08-30,0.6327537593984962,0.20452488687782808
2018-09-04,0.6293948816072709,0.19658430232558138
2018-09-06,0.6338196603683328,0.20415982484948
2018-09-17,0.6285244360902255,0.20051319648093843
2018-09-21,0.6153665413533835,0.18088045680604165
2018-10-04,0.6108801108801108,0.17777777777777776
2018-10-05,0.6068181818181818,0.1750791581300056
2018-10-08,0.598059598059598,0.1581300055876327
2018-10-10,0.598059598059598,0.1581300055876327
2018-10-11,0.6108801108801108,0.17777777777777776
2018-10-17,0.6108801108801108,0.17777777777777776
2018-10-18,0.6147727272727272,0.18603794437281265
2018-10-22,0.6147727272727272,0.18603794437281265
2018-10-24,0.6183710002237637,0.1939149560117302
2018-10-26,0.613783844260461,0.1855500821018062
2018-10-29,0.6091966882971581,0.17732558139534885
2018-11-02,0.6046095323338555,0.16923076923076924
2018-11-09,0.6046095323338555,0.16923076923076924
2018-11-12,0.5958994708994708,0.1574660633484163
2018-11-14,0.5878272544193333,0.14208144796380093
2018-11-19,0.5912698412698413,0.14935064935064937
2018-12-06,0.5878272544193333,0.14208144796380093
2018-12-10,0.5878272544193333,0.14208144796380093
2018-12-14,0.5832400984560304,0.13419913419913423
2018-12-17,0.5866402116402116,0.1413414853443625
2018-12-19,0.5897630949793524,0.14813486370157822
2018-12-20,0.5897630949793524,0.14813486370157822
2018-12-21,0.5973413379073755,0.16284074605451934
2018-12-24,0.6047619047619048,0.17754662840746052
2019-01-22,0.6134219554030875,0.18974175035868004
2019-01-28,0.6134219554030875,0.18974175035868004
2019-02-07,0.6134219554030875,0.18974175035868004
2019-02-21,0.6134219554030875,0.18974175035868004
2019-02-27,0.6134219554030875,0.18974175035868004
2019-03-04,0.6158730158730159,0.19592055823939886
2019-03-06,0.607232441471572,0.18357487922705318
2019-03-07,0.607232441471572,0.18357487922705318
2019-03-20,0.607232441471572,0.18357487922705318
2019-03-22,0.5988432142119396,0.1712292002147075
2019-03-25,0.607232441471572,0.18357487922705318
2019-03-27,0.607232441471572,0.18357487922705318
2019-04-11,0.607232441471572,0.18357487922705318
2019-04-15,0.607232441471572,0.18357487922705318
2019-04-17,0.5988432142119396,0.1712292002147075
2019-04-18,0.607232441471572,0.18357487922705318
2019-04-25,0.607232441471572,0.18357487922705318
2019-04-26,0.6047619047619048,0.17754662840746052
2019-05-02,0.6095238095238096,0.1861176047473476
2019-05-09,0.6168478260869565,0.20104297788167594
2019-05-10,0.6095238095238096,0.1861176047473476
2019-05-13,0.6095238095238096,0.1861176047473476
2019-05-23,0.6095238095238096,0.1861176047473476
2019-06-03,0.6095238095238096,0.1861176047473476
2019-06-14,0.6142857142857143,0.19480519480519484
2019-07-05,0.619047619047619,0.20361990950226247
2019-07-17,0.6079365079365079,0.18531976744186046
2019-07-25,0.6126984126984126,0.19430760810071152
2019-07-29,0.6126984126984126,0.19430760810071152
2019-07-31,0.6047240802675584,0.1828133552271483
2019-08-01,0.5969840941954142,0.17131910235358508
2019-08-02,0.6076223920677546,0.18931686046511628
2019-08-05,0.6102941176470588,0.19547511312217197
2019-08-07,0.6053921568627452,0.18614718614718617
2019-08-09,0.6085519520760173,0.18899478511059162
2019-08-12,0.6085519520760173,0.18899478511059162
2019-08-14,0.6158088235294118,0.20392015824491996
2019-08-22,0.610906862745098,0.19476327116212336
2019-08-23,0.6130531420488988,0.20021470746108427
2019-09-18,0.6130531420488988,0.20021470746108427
2019-09-20,0.605,0.1878690284487386
2019-09-25,0.6081026469993938,0.19107142857142856
2019-09-26,0.6081026469993938,0.19107142857142856
2019-09-27,0.61,0.19611338919593507
2019-10-03,0.6050000000000001,0.186965811965812
2019-10-31,0.601901366607249,0.1834551613478338
2019-11-08,0.606951871657754,0.19285714285714284
2019-11-20,0.6120023767082591,0.202361782071927
2019-11-21,0.6170528817587642,0.21197991391678622
2019-12-30,0.614403453689168,0.20967451897140804
2020-01-23,0.6122994652406417,0.20454545454545453
2020-01-24,0.6047880690737834,0.1926406926406926
2020-01-30,0.5996860282574568,0.18270095306599532
2020-01-31,0.6017311807041432,0.18758967001434718
2020-02-18,0.6017311807041432,0.18758967001434718
2020-02-20,0.6017311807041432,0.18758967001434718
2020-02-21,0.6017311807041432,0.18758967001434718
2020-02-26,0.5965765415288855,0.17767042404723565
2020-02-27,0.5983796296296297,0.1821428571428571
2020-02-28,0.5931712962962963,0.17222321269388485
2020-03-05,0.5879629629629629,0.16239316239316237
2020-03-11,0.5879629629629629,0.16239316239316237
2020-03-12,0.5827546296296297,0.15264187866927592
2020-03-18,0.5775462962962963,0.14295874822190613
2020-03-20,0.5789473684210527,0.14666666666666667
2020-03-23,0.5736842105263158,0.13691322901849218
2020-04-03,0.5684210526315789,0.12720156555772993
2020-04-13,0.5619212962962963,0.114214552570717
2020-04-30,0.5553394281268236,0.10122753958370401
2020-05-01,0.5604940673020813,0.11059743954480794
2020-05-13,0.5578703703703705,0.10666666666666669
2020-05-14,0.5578703703703705,0.10666666666666669
2020-05-21,0.5593301435406699,0.11024182076813654
2020-05-22,0.5593301435406699,0.11024182076813654
2020-05-29,0.5593301435406699,0.11024182076813654
2020-06-10,0.5645933014354066,0.12000000000000005
2020-06-11,0.5569908814589666,0.10666666666666669
2020-06-17,0.5516717325227963,0.096728307254623
2020-06-19,0.5593301435406699,0.11024182076813654
2020-06-24,0.5593301435406699,0.11024182076813654
2020-06-26,0.5659194528875381,0.12339971550497869
2020-07-09,0.5606003039513678,0.11350293542074363
2020-07-23,0.5529145444255801,0.09980430528375733
2020-07-30,0.5475382003395586,0.08974358974358976
2020-07-31,0.5475382003395586,0.08974358974358976
2020-08-10,0.5475382003395586,0.08974358974358976
2020-08-31,0.5475382003395586,0.08974358974358976
2020-09-03,0.5399175412293854,0.07585470085470086
2020-09-04,0.5399175412293854,0.07585470085470086
2020-09-08,0.5344827586206897,0.06560884293100377
2020-09-10,0.5431034482758621,0.08214285714285713
2020-09-11,0.5509337860780985,0.09642857142857142
2020-09-18,0.5421618562535371,0.07969334997325728
2020-09-21,0.5421618562535371,0.07969334997325728
2020-09-23,0.5485382308845578,0.09235157782135855
2020-10-14,0.5408828459675917,0.07826707077910505
2020-10-19,0.5324082696964052,0.06196581196581197
2020-10-26,0.5239336934252188,0.045721401885785495
2020-10-28,0.5305555555555556,0.05870841487279843
2020-10-30,0.5239336934252188,0.045721401885785495
2020-11-06,0.5226761619190405,0.0430298719772404
2020-11-12,0.5281109445277361,0.053333333333333344
2020-11-25,0.5281109445277361,0.053333333333333344
2020-12-18,0.5281109445277361,0.053333333333333344
2020-12-21,0.5335457271364317,0.06365576102418208
2021-01-04,0.5249250374812593,0.04732254047322537
2021-01-15,0.530359820089955,0.05769230769230771
2021-01-25,0.5357946026986506,0.06810483152077018
2021-01-27,0.528962562860868,0.055446603672668904
2021-01-29,0.5305555555555556,0.058760683760683774
2021-02-18,0.5361111111111111,0.0695311107149224
2021-02-25,0.5375759808436177,0.07264957264957261
2021-02-26,0.5375759808436177,0.07264957264957261
2021-03-03,0.5293792595321422,0.05687288286682113
2021-03-04,0.5211825382206668,0.04107142857142854
2021-03-05,0.513888888888889,0.0267857142857143
2021-03-19,0.513888888888889,0.0267857142857143
2021-03-29,0.514993481095176,0.028703868782314124
2021-04-14,0.5217391304347826,0.0413620966304154
